text,label
Could you help me: My voice is hoarse and my throat hurts this morning?,Symptom Inquiry
What self care steps help with mild fever this morning,Self-Care Advice
When should respiratory symptoms be checked by a doctor since yesterday?,Seek Medical Help
My cough started yesterday and now I feel tired,Symptom Inquiry
I need advice because what helps with congestion and runny nose this morning?,Self-Care Advice
"Please help, what self care steps help with mild fever for two days?",Self-Care Advice
"Please help, i have a sore throat and a mild fever for two days?",Symptom Inquiry
I need advice because do i need medical help if my breathing feels harder since yesterday?,Seek Medical Help
"Please help, my cough started yesterday and now I feel tired",Symptom Inquiry
"Please help, can I take fever medicine before sleeping since yesterday?",Medication Question
"For the last two days, i feel congestion in my nose and chest for two days",Symptom Inquiry
Can you tell me if i have cold symptoms and a persistent cough for two days?,Symptom Inquiry
"For the last two days, my voice is hoarse and my throat hurts since yesterday",Symptom Inquiry
Is it time to see a doctor for a persistent cough,Seek Medical Help
"Please help, could you help me: Should I see a doctor if I have shortness of breath since yesterday?",Seek Medical Help
I want to know if what should I drink if I have a sore throat and cough since yesterday,Self-Care Advice
I want to know if could you help me: My throat feels dry and I have a runny nose and I am worried?,Symptom Inquiry
What are some home remedies for cough and fever right now?,Self-Care Advice
Can you tell me if what helps with congestion and runny nose right now?,Self-Care Advice
Can you tell me if my cough started yesterday and now i feel tired right now?,Symptom Inquiry
"Please help, i have a sore throat and a mild fever since yesterday?",Symptom Inquiry
Can you tell me if is it safe to take lozenges for throat pain for two days,Medication Question
I need advice because could you help me: When is a fever serious enough to get medical help?,Seek Medical Help
"For the last two days, is it time to see a doctor for a persistent cough this morning?",Seek Medical Help
is it safe to take lozenges for throat pain right now?,Medication Question
"Please help, is acetaminophen okay for mild flu symptoms for two days",Medication Question
Could you help me: I have a low fever and a lot of mucus since yesterday?,Symptom Inquiry
i woke up with a sore throat and light fever?,Symptom Inquiry
I want to know if do i need professional care if i cannot breathe well?,Seek Medical Help
I want to know if could you help me: Can I use common cold tablets for sneezing and cough?,Medication Question
Can you tell me if is it time to see a doctor for a persistent cough since yesterday?,Seek Medical Help
"For the last two days, could you help me: What should I do for a sore throat this morning?",Self-Care Advice
"For the last two days, my cough started yesterday and now I feel tired this morning?",Symptom Inquiry
Can you tell me if could you help me: What can I do for sneezing and a blocked nose right now?,Self-Care Advice
Can you tell me if how do I take care of a cold without going to a clinic right now,Self-Care Advice
I need advice because should I see a doctor for my fever and cough for two days?,Seek Medical Help
"For the last two days, i woke up with a sore throat and light fever for two days?",Symptom Inquiry
Can you tell me if should i see a doctor if i have shortness of breath?,Seek Medical Help
"For the last two days, what over the counter medicine helps with flu symptoms for two days",Medication Question
Can you tell me if how should i rest if i feel like i have the flu and I am worried?,Self-Care Advice
"For the last two days, could you help me: Is it safe to take lozenges for throat pain right now?",Medication Question
"Please help, my throat feels dry and I have a runny nose right now?",Symptom Inquiry
Can you tell me if could you help me: When should respiratory symptoms be checked by a doctor this morning?,Seek Medical Help
"For the last two days, when should respiratory symptoms be checked by a doctor and I am worried",Seek Medical Help
"Please help, i keep coughing at night and my nose is blocked and I am worried?",Symptom Inquiry
Can you tell me if what helps with congestion and runny nose this morning?,Self-Care Advice
Should I see a doctor if I have shortness of breath,Seek Medical Help
"For the last two days, my voice is hoarse and my throat hurts for two days",Symptom Inquiry
Could you help me: I feel congestion in my nose and chest this morning?,Symptom Inquiry
"For the last two days, when should respiratory symptoms be checked by a doctor this morning?",Seek Medical Help
Can you tell me if could you help me: How do I recover from a mild respiratory infection and I am worried?,Self-Care Advice
"For the last two days, how do i recover from a mild respiratory infection this morning?",Self-Care Advice
"Please help, could you help me: I have a stuffy nose and a headache with mild fever since yesterday?",Symptom Inquiry
Could you help me: Do I need professional care if I cannot breathe well?,Seek Medical Help
"For the last two days, is it time to see a doctor for a persistent cough right now?",Seek Medical Help
I want to know if could you help me: Can I combine cold medicine with pain reliever this morning?,Medication Question
I need advice because what are some home remedies for cough and fever?,Self-Care Advice
"Please help, what should i do for a sore throat this morning?",Self-Care Advice
I want to know if i woke up with a sore throat and light fever since yesterday,Symptom Inquiry
"Please help, how do I take care of a cold without going to a clinic and I am worried?",Self-Care Advice
I have a low fever and a lot of mucus and I am worried,Symptom Inquiry
I want to know if could you help me: How can I relieve a mild cough at home right now?,Self-Care Advice
"For the last two days, could you help me: Can I use cough syrup for a dry cough right now?",Medication Question
I want to know if could you help me: When is a fever serious enough to get medical help and I am worried?,Seek Medical Help
"For the last two days, could you help me: Should I get checked if my cough is getting worse?",Seek Medical Help
"For the last two days, could you help me: I have a low fever and a lot of mucus and I am worried?",Symptom Inquiry
I need advice because could you help me: Do I need professional care if I cannot breathe well since yesterday?,Seek Medical Help
I need advice because could you help me: Should I see a doctor for my fever and cough?,Seek Medical Help
"Please help, could you help me: My cough started yesterday and now I feel tired this morning?",Symptom Inquiry
I need advice because do I need professional care if I cannot breathe well this morning,Seek Medical Help
Can you tell me if could you help me: Do I need professional care if I cannot breathe well and I am worried?,Seek Medical Help
I need advice because i have a sore throat and a mild fever since yesterday,Symptom Inquiry
is nasal spray okay for congestion and I am worried?,Medication Question
I need advice because is acetaminophen okay for mild flu symptoms for two days?,Medication Question
"Please help, can I use common cold tablets for sneezing and cough",Medication Question
Should I worry if I feel weak and my cough is severe,Seek Medical Help
"For the last two days, can i take ibuprofen for fever and sore throat this morning?",Medication Question
"Please help, what should I drink if I have a sore throat and cough right now?",Self-Care Advice
Can you tell me if do I need professional care if I cannot breathe well this morning,Seek Medical Help
Can you tell me if can I use cough syrup for a dry cough for two days,Medication Question
"For the last two days, can i use common cold tablets for sneezing and cough and I am worried?",Medication Question
can i use over the counter medicine for a blocked nose for two days?,Medication Question
Can you tell me if can I use common cold tablets for sneezing and cough and I am worried?,Medication Question
"For the last two days, can I combine cold medicine with pain reliever since yesterday?",Medication Question
I have a low fever and a lot of mucus for two days?,Symptom Inquiry
"Please help, i have been sneezing and coughing for two days and I am worried?",Symptom Inquiry
I want to know if what should I do for a sore throat since yesterday?,Self-Care Advice
Could you help me: How can I sleep better when I keep coughing for two days?,Self-Care Advice
"For the last two days, is it safe to take lozenges for throat pain since yesterday",Medication Question
"Please help, what are some home remedies for cough and fever since yesterday?",Self-Care Advice
"For the last two days, what should I drink if I have a sore throat and cough",Self-Care Advice
Can you tell me if could you help me: Should I worry if I feel weak and my cough is severe this morning?,Seek Medical Help
I want to know if i feel congestion in my nose and chest since yesterday?,Symptom Inquiry
I want to know if could you help me: How can I ease throat pain and nasal congestion this morning?,Self-Care Advice
I want to know if what can I do for sneezing and a blocked nose right now,Self-Care Advice
I want to know if what self care steps help with mild fever?,Self-Care Advice
What should I drink if I have a sore throat and cough for two days?,Self-Care Advice
I have a sore throat and a mild fever right now,Symptom Inquiry
I need advice because can I take ibuprofen for fever and sore throat?,Medication Question
"Please help, could you help me: My cough started yesterday and now I feel tired right now?",Symptom Inquiry
I have a stuffy nose and a headache with mild fever,Symptom Inquiry
I want to know if what are some home remedies for cough and fever for two days?,Self-Care Advice
"Please help, should i worry if i feel weak and my cough is severe for two days?",Seek Medical Help
I want to know if can i use cough syrup for a dry cough for two days?,Medication Question
